name,rating,genre,score,director,writer,star,company,year,country
The Shining,R,Drama,8.4,Stanley Kubrick,Stephen King,Jack Nicholson,Warner Bros.,1980,United States
The Blue Lagoon,R,Adventure,5.8,Randal Kleiser,Henry De Vere Stacpoole,Brooke Shields,Columbia Pictures,1980,United States
Star Wars: Episode V - The Empire Strikes Back,PG,Action,8.7,Irvin Kershner,Leigh Brackett,Mark Hamill,Lucasfilm,1980,United States
Airplane!,PG,Comedy,7.7,Jim Abrahams,Jim Abrahams,Robert Hays,Paramount Pictures,1980,United States
Caddyshack,R,Comedy,7.3,Harold Ramis,Brian Doyle-Murray,Chevy Chase,Orion Pictures,1980,United States
Friday the 13th,R,Horror,6.4,Sean S. Cunningham,Victor Miller,Betsy Palmer,Paramount Pictures,1980,United States
The Blues Brothers,R,Action,7.9,John Landis,Dan Aykroyd,John Belushi,Universal Pictures,1980,United States
Raging Bull,R,Biography,8.2,Martin Scorsese,Jake LaMotta,Robert De Niro,Chartoff-Winkler Productions,1980,United States
Superman II,PG,Action,6.8,Richard Lester,Jerry Siegel,Gene Hackman,Dovemead Films,1981,United States
The Long Riders,R,Biography,7.0,Walter Hill,Bill Bryden,David Carradine,United Artists,1980,United States
Any Which Way You Can,PG,Action,6.1,Buddy Van Horn,Stanford Sherman,Clint Eastwood,The Malpaso Company,1980,United States
The Gods Must Be Crazy,PG,Adventure,7.3,Jamie Uys,Jamie Uys,N!xau,C.A.T. Films,1984,United States
Popeye,PG,Adventure,5.3,Robert Altman,Jules Feiffer,Robin Williams,Paramount Pictures,1980,United States
Ordinary People,R,Drama,7.7,Robert Redford,Judith Guest,Donald Sutherland,Paramount Pictures,1980,United States
Dressed to Kill,R,Crime,7.1,Brian De Palma,Brian De Palma,Michael Caine,Filmways Pictures,1980,United States
Somewhere in Time,PG,Drama,7.2,Jeannot Szwarc,Richard Matheson,Christopher Reeve,Rastar Pictures,1980,United States
Fame,R,Drama,6.6,Alan Parker,Christopher Gore,Eddie Barth,Metro-Goldwyn-Mayer (MGM),1980,United States
9 to 5,PG,Comedy,6.9,Colin Higgins,Patricia Resnick,Jane Fonda,IPC Films,1980,United States
The Fog,R,Horror,6.8,John Carpenter,John Carpenter,Adrienne Barbeau,AVCO Embassy Pictures,1980,United States
Stir Crazy,R,Comedy,6.8,Sidney Poitier,Bruce Jay Friedman,Gene Wilder,Columbia Pictures,1980,United States
Cruising,R,Crime,6.5,William Friedkin,William Friedkin,Al Pacino,Lorimar Film Entertainment,1980,United States
Heaven's Gate,R,Adventure,6.8,Michael Cimino,Michael Cimino,Kris Kristofferson,Partisan Productions,1981,United States
The Final Countdown,PG,Action,6.7,Don Taylor,Thomas Hunter,Kirk Douglas,Bryna Productions,1980,United States
Xanadu,PG,Fantasy,5.3,Robert Greenwald,Richard Christian Danus,Olivia Newton-John,Universal Pictures,1980,United States
Urban Cowboy,PG,Drama,6.4,James Bridges,Aaron Latham,John Travolta,Paramount Pictures,1980,United States
Altered States,R,Horror,6.9,Ken Russell,Paddy Chayefsky,William Hurt,Warner Bros.,1980,United States
Little Darlings,R,Comedy,6.5,Ron Maxwell,Kimi Peck,Tatum O'Neal,Stephen Friedman/Kings Road Productions,1980,United States
Raise the Titanic,PG,Action,5.0,Jerry Jameson,Adam Kennedy,Jason Robards,ITC Films,1980,United States
Brubaker,R,Crime,7.2,Stuart Rosenberg,W.D. Richter,Robert Redford,Twentieth Century Fox,1980,United States
American Gigolo,R,Crime,6.2,Paul Schrader,Paul Schrader,Richard Gere,Paramount Pictures,1980,United States
My Bodyguard,PG,Comedy,7.1,Tony Bill,Alan Ormsby,Chris Makepeace,Twentieth Century Fox,1980,United States
Prom Night,R,Horror,5.4,Paul Lynch,William Gray,Leslie Nielsen,Guardian Trust Company,1980,United States
Smokey and the Bandit II,PG,Action,5.3,Hal Needham,Hal Needham,Burt Reynolds,Universal Pictures,1980,United States
Cattle Annie and Little Britches,PG,Drama,6.1,Lamont Johnson,David Eyre,Scott Glenn,Cattle Annie Productions,1981,United States
Seems Like Old Times,PG,Comedy,6.7,Jay Sandrich,Neil Simon,Goldie Hawn,Rastar Films,1980,United States
Private Benjamin,R,Comedy,6.2,Howard Zieff,Nancy Meyers,Goldie Hawn,Warner Bros.,1980,United States
The Hollywood Knights,R,Comedy,6.3,Floyd Mutrux,Floyd Mutrux,Tony Danza,PolyGram Filmed Entertainment,1980,United States
Motel Hell,R,Comedy,6.0,Kevin Connor,Robert Jaffe,Rory Calhoun,Camp Hill,1980,United States
The Jazz Singer,PG,Drama,5.9,Richard Fleischer,Samson Raphaelson,Laurence Olivier,EMI Films,1980,United States
Coal Miner's Daughter,PG,Biography,7.5,Michael Apted,Thomas Rickman,Sissy Spacek,Universal Pictures,1980,United States
The Watcher in the Woods,PG,Family,6.3,John Hough,Brian Clemens,Bette Davis,Walt Disney Productions,1981,United States
Breaker Morant,PG,Drama,7.9,Bruce Beresford,Jonathan Hardy,Edward Woodward,The South Australian Film Corporation,1980,Australia
The Stunt Man,R,Action,7.1,Richard Rush,Lawrence B. Marcus,Peter O'Toole,Melvin Simon Productions,1980,United States
Where the Buffalo Roam,R,Biography,6.6,Art Linson,Hunter S. Thompson,Peter Boyle,Universal Pictures,1980,United States
The Awakening,R,Horror,4.8,Mike Newell,Allan Scott,Charlton Heston,EMI Films,1980,United States
Cheech and Chong's Next Movie,R,Comedy,6.1,Tommy Chong,Tommy Chong,Cheech Marin,Universal Pictures,1980,United States
The Island,R,Action,5.3,Michael Ritchie,Peter Benchley,Michael Caine,Universal Pictures,1980,United States
The Boogey Man,R,Horror,4.6,Ulli Lommel,Ulli Lommel,Suzanna Love,The Jerry Gross Organization,1980,United States
The Nude Bomb,PG,Action,5.1,Clive Donner,Mel Brooks,Don Adams,Universal Pictures,1980,United States
Lion of the Desert,PG,Biography,8.3,Moustapha Akkad,David Butler,Anthony Quinn,Falcon International Productions,1981,Japan
Stardust Memories,PG,Comedy,7.3,Woody Allen,Woody Allen,Woody Allen,Jack Rollins & Charles H. Joffe Productions,1980,United States
Melvin and Howard,R,Comedy,6.8,Jonathan Demme,Bo Goldman,Paul Le Mat,Universal Pictures,1980,United States
Can't Stop the Music,PG,Biography,4.2,Nancy Walker,Bronte Woodard,Ray Simpson,EMI Films,1980,United States
Bronco Billy,PG,Action,6.1,Clint Eastwood,Dennis Hackin,Clint Eastwood,Warner Bros.,1980,United States
City of Women,R,Comedy,7.0,Federico Fellini,Federico Fellini,Marcello Mastroianni,Opera Film Produzione,1981,United States
The Private Eyes,PG,Comedy,6.7,Lang Elliott,Tim Conway,Tim Conway,Tri Star Productions,1980,United States
When Time Ran Out...,PG,Action,4.6,James Goldstone,Gordon Thomas,Paul Newman,International Cinema,1980,United States
Oh Heavenly Dog,PG,Comedy,5.4,Joe Camp,Rod Browning,Chevy Chase,Mulberry Square Productions,1980,United States
The Octagon,R,Action,5.1,Eric Karson,Leigh Chapman,Chuck Norris,American Cinema Productions,1980,United States
Hangar 18,PG,Sci-Fi,5.3,James L. Conway,Ken Pettus,Darren McGavin,Sunn Classic Pictures,1981,Ireland
Herbie Goes Bananas,G,Adventure,5.0,Vincent McEveety,Don Tait,Charles Martin Smith,Walt Disney Productions,1980,United States
The Competition,PG,Drama,6.7,Joel Oliansky,Joel Oliansky,Richard Dreyfuss,Rastar Films,1980,United States
It's My Turn,R,Comedy,5.5,Claudia Weill,Eleanor Bergstein,Jill Clayburgh,Rastar Films,1981,Argentina
Honeysuckle Rose,PG,Drama,6.3,Jerry Schatzberg,Gösta Stevens,Willie Nelson,Major Studio Partners,1980,United States
Resurrection,PG,Drama,7.3,Daniel Petrie,Lewis John Carlino,Ellen Burstyn,Universal Pictures,1980,United States
Fatso,PG,Comedy,6.3,Anne Bancroft,Anne Bancroft,Dom DeLuise,Brooksfilms,1980,United States
Moscow Does Not Believe in Tears,PG,Comedy,8.1,Vladimir Menshov,Valentin Chernykh,Vera Alentova,Mosfilm,1980,Soviet Union
The Fiendish Plot of Dr. Fu Manchu,PG,Comedy,5.1,Piers Haggard,Rudy Dochtermann,Peter Sellers,Braun Entertainment Group,1980,United States
Serial,R,Comedy,6.6,Bill Persky,Cyra McFadden,Martin Mull,Paramount Pictures,1980,United States
Hero at Large,PG,Comedy,6.0,Martin Davidson,AJ Carothers,John Ritter,Kings Road Entertainment,1980,United States
Wholly Moses!,PG,Comedy,4.7,Gary Weis,Guy Thomas,Dudley Moore,Columbia Pictures,1980,United States
"Bon Voyage, Charlie Brown (and Don't Come Back!!)",G,Animation,7.3,Bill Melendez,Charles M. Schulz,Scott Beach,Lee Mendelson Film Productions,1980,United States
In God We Trust (or Gimme That Prime Time Religion),PG,Comedy,5.5,Marty Feldman,Marty Feldman,Marty Feldman,Universal Pictures,1980,United States
Roadie,PG,Comedy,5.2,Alan Rudolph,Big Boy Medlin,Meat Loaf,Alive Enterprises,1980,United States
Just Tell Me What You Want,R,Comedy,5.5,Sidney Lumet,Jay Presson Allen,Ali MacGraw,Warner Bros.,1980,United States
The Last Flight of Noah's Ark,G,Adventure,5.8,Charles Jarrott,Ernest K. Gann,Elliott Gould,Walt Disney Productions,1980,United States
Little Miss Marker,PG,Comedy,6.3,Walter Bernstein,Damon Runyon,Walter Matthau,Universal Pictures,1980,United States
Willie & Phil,R,Comedy,5.9,Paul Mazursky,Jean Gruault,Michael Ontkean,Twentieth Century Fox,1980,United States
Windwalker,PG,Adventure,6.9,Kieth Merrill,Ray Goldrup,Trevor Howard,Santa Fe International,1983,Sweden
Phobia,R,Drama,4.0,John Huston,Gary Sherman,Paul Michael Glaser,Borough Park Productions,1980,United States
Windows,R,Drama,4.8,Gordon Willis,Barry Siegel,Talia Shire,Mike Lobell Productions,1980,United States
Loving Couples,PG,Comedy,5.2,Jack Smight,Martin Donovan,Shirley MacLaine,Time Life Films,1980,United States
"Oh, God! Book II",PG,Comedy,5.2,Gilbert Cates,Josh Greenfeld,George Burns,Warner Bros.,1980,United States
"Those Lips, Those Eyes",R,Comedy,6.5,Michael Pressman,David Shaber,Frank Langella,Herb Jaffe,1980,United States
La Cage aux Folles II,R,Comedy,5.8,Édouard Molinaro,Jean Poiret,Michel Serrault,Da.Ma. Cinematografica,1981,United States
The Gong Show Movie,R,Comedy,4.3,Chuck Barris,Chuck Barris,Chuck Barris,Chuck Barris Productions,1980,United States
Gilda Live,R,Comedy,6.8,Mike Nichols,Anne Beatts,Gilda Radner,Broadway Productions,1980,United States
Why Would I Lie?,PG,Comedy,6.5,Larry Peerce,Hollis Hodges,Treat Williams,Metro-Goldwyn-Mayer (MGM),1980,United States
First Family,R,Comedy,4.3,Buck Henry,Buck Henry,Bob Newhart,F.F. Associates,1980,United States
Indiana Jones and the Raiders of the Lost Ark,PG,Action,8.4,Steven Spielberg,Lawrence Kasdan,Harrison Ford,Paramount Pictures,1981,United States
Body Heat,R,Crime,7.4,Lawrence Kasdan,Lawrence Kasdan,William Hurt,The Ladd Company,1981,United States
An American Werewolf in London,R,Comedy,7.5,John Landis,John Landis,David Naughton,Polygram Pictures,1981,United States
Escape from New York,R,Action,7.2,John Carpenter,John Carpenter,Kurt Russell,AVCO Embassy Pictures,1981,United States
The Evil Dead,NC-17,Horror,7.5,Sam Raimi,Sam Raimi,Bruce Campbell,Renaissance Pictures,1983,United States
Porky's,R,Comedy,6.2,Bob Clark,Bob Clark,Dan Monahan,Astral Bellevue Pathé,1982,United States
Blow Out,R,Crime,7.4,Brian De Palma,Brian De Palma,John Travolta,Filmways Pictures,1981,United States
Clash of the Titans,PG,Action,6.9,Desmond Davis,Beverley Cross,Laurence Olivier,Charles H. Schneer Productions,1981,United States
Excalibur,R,Adventure,7.4,John Boorman,Thomas Malory,Nigel Terry,Cinema '84,1981,United States
Mad Max 2,R,Action,7.6,George Miller,Terry Hayes,Mel Gibson,Kennedy Miller Productions,1982,United States
Stripes,R,Comedy,6.9,Ivan Reitman,Len Blum,Bill Murray,Columbia Pictures,1981,United States
Possession,R,Drama,7.4,Andrzej Zulawski,Andrzej Zulawski,Isabelle Adjani,Gaumont,1983,United States
